週,カテゴリ,競合,媒体,重要度,日付,タイトル,先週,今週,AIメモ,入札上昇,入札下落,ネクストアクション,社外価値
2026/07/14週,KW,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,リスティング出稿KW・掲載順位の変化,,,Keywordmap取込。検知KW81件（上昇/新規81・下落/非表示0／表示は上位12件）。想定集客コスト上位: 売却 マンション（約50.6万円）。(出典: Keywordmap),ザ パーク ハウス 新規表示（→2位）;パークハウス 新規表示（→2位）;売却 マンション 新規表示（→6位）;マンション売却 税 新規表示（→6位）;プラウド成城 新規表示（→1位）;パークハウス文京関口 新規表示（→5位）;ザパークハウス相生山 新規表示（→5位）;渋谷藤和コープ 新規表示（→1位）;四条烏丸クロスマーク 新規表示（→2位）;パークハウス神楽坂 新規表示（→2位）;ザガーデンズ東京王子 新規表示（→5位）;洗足ミナミプラザ 新規表示（→5位）,,,
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: 三菱地所ハウスネット,,三菱地所ハウスネット ／ 安心と信頼の三菱地所グループ — 三菱地所グループの不動産売買仲介サイト。売主様、買主様の安心な不動産取引をサポート。不…,Keywordmap取込。想定流入数571・3KWで表示。(出典: Keywordmap),,,,
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: パークハウスの売却はこちら | ザ・パークハウス,,パークハウスの売却はこちら | ザ・パークハウス ／ ザ・パークハウスのご売却なら三菱地所の住まいリレー。パークハウスのご売却は三菱地所の住まいリレーへお任せください。 周辺…,Keywordmap取込。想定流入数364・1KWで表示。(出典: Keywordmap),,,,
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: パークハウスの売却はこちら | 【公式】三菱地所の住…,,パークハウスの売却はこちら | 【公式】三菱地所の住まいリレー ／ パークハウスのご売却は三菱地所の住まいリレーへお任せください。 経験と実績を重ねてきた三菱地所グループの安心サービスでお…,Keywordmap取込。想定流入数364・1KWで表示。(出典: Keywordmap),,,,
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: プラウド成城,,プラウド成城 ／ 大手不動産会社だから安心 — 査定価格を知りたい方に！マンション・土地・一戸建ての無料査定依頼なら三菱地所の住まいリレー…,Keywordmap取込。想定流入数135・1KWで表示。(出典: Keywordmap),,,,
2026/07/14週,TD,三菱地所ハウスネット（自社）,リスティング(Google/Yahoo),中,2026-07-04,広告見出し: 渋谷藤和コープ,,渋谷藤和コープ ／ 【公式】三菱地所の住まいリレー — 三菱地所グループ分譲マンションのご売却は三菱地所の住まいリレーへお任せください。 経…,Keywordmap取込。想定流入数92・1KWで表示。(出典: Keywordmap),,,,
2026/07/14週,ニュース,住友不動産,プレスリリース,高,2025/04/01,「住友不動産ステップ」へ商号変更＋購入専門部署を新設,住友不動産販売,住友不動産ステップに商号変更／「ステップ購入エージェンシー」を首都圏5・関西1店に新設,購入検討層の囲い込みを強化。デジタル広告への全面移行・ステップオークションも推進（出典: 住友不動産ステップ公式／日経）,,,,
2026/07/14週,CR,住友不動産,GDN;Yahoo;Microsoft;Facebook;SmartNews,高,2026-07-15,クリエイティブ出稿の全体像,,総CR3698本（画像3403／動画281／カルーセル14）・新規CR3138本・LP1115本（新規LP1041）,ADクロール取込。表示回数約34万回。媒体内訳(CR数): GDN 1096／Yahoo 855／Microsoft 379／Facebook 319／SmartNews 315／Instagram 289。出稿期間 2020-01-22〜2026-07-15。(出典: ADクロール),,,,
2026/07/14週,CR,住友不動産,Microsoft,中,2026-07-15,主要クリエイティブ訴求: 【この二択】あなたはどうする？不動産価格が高水準の今…,,【この二択】あなたはどうする？不動産価格が高水準の今！賢い選択をご提案します,ADクロール取込。表示回数(7日増)809・9クリエイティブ・1媒体。(出典: ADクロール),,,,
2026/07/14週,CR,住友不動産,Microsoft;Instagram;Facebook,中,2026-07-15,主要クリエイティブ訴求: 意外と知らない！我が家の資産価値って？最新の相場から…,,意外と知らない！我が家の資産価値って？最新の相場から資産価値をお伝えします！,ADクロール取込。表示回数(7日増)731・9クリエイティブ・3媒体。(出典: ADクロール),,,,
2026/07/14週,CR,住友不動産,SmartNews,中,2026-07-15,主要クリエイティブ訴求: 「今の価値を知りたい」住友不動産ステップの無料査定が…,,「今の価値を知りたい」住友不動産ステップの無料査定が選ばれる理由とは？,ADクロール取込。表示回数(7日増)527・29クリエイティブ・1媒体。リード: 事例多数！最新の相場と市場傾向から適切なプランをご提案。賢く売却するならまずはプ…。(出典: ADクロール),,,,
2026/07/14週,CR,住友不動産,Youtube;Yahoo;GDN;Microsoft,中,2026-07-15,主要クリエイティブ訴求: 最新の相場と傾向お教えします,,最新の相場と傾向お教えします,ADクロール取込。表示回数(7日増)319・606クリエイティブ・5媒体。リード: 事例多数！まずは現在の資産価値と需要を確認してみませんか。30秒でできるカンタン…。(出典: ADクロール),,,,
2026/07/14週,CR,住友不動産,Yahoo;Microsoft;GDN;LINE,中,2026-07-15,主要クリエイティブ訴求: 今後の不動産価格どうなる？,,今後の不動産価格どうなる？,ADクロール取込。表示回数(7日増)267・36クリエイティブ・4媒体。リード: 不動産のプロが解説！今の時期だからこその売却戦略をご案内！実績多数安心してお任せ…。(出典: ADクロール),,,,
2026/07/14週,CR,住友不動産,Youtube;Yahoo;Microsoft,中,2026-07-15,主要クリエイティブ訴求: 本当に？[購入10年]我が家の価値,,本当に？[購入10年]我が家の価値,ADクロール取込。表示回数(7日増)236・18クリエイティブ・3媒体。リード: 意外にもこんなに高いの？という声が続々！高く売れた事例・適切な売却方法をご案内。(出典: ADクロール),,,,
2026/07/14週,CR,住友不動産,Microsoft,中,2026-07-15,主要クリエイティブ訴求: 売るか迷う…今の価値を確認から,,売るか迷う…今の価値を確認から,ADクロール取込。表示回数(7日増)201・3クリエイティブ・1媒体。(出典: ADクロール),,,,
2026/07/14週,LP,住友不動産,Microsoft;Yahoo;LINE;GDN,中,2026-07-15,誘導LP: 不動産査定なら｜【住友不動産販売】全国に広がる直営仲…,,https://www.stepon.co.jp/lp/uri/?argument=nodf34lq,ADクロール取込。CR数825・LP表示回数約20.4万回・4媒体。説明: 不動産の査定なら 【住友不動産販売】にお任せください!!住友不動産販売は全国に広がる営業ネットワーク…。(出典: ADクロール),,,,
2026/07/14週,LP,住友不動産,SmartNews;Facebook;Instagram,中,2026-07-15,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://kiwamilp.stepon.co.jp/876e1c59/index.html?argument=nodf34lq,ADクロール取込。CR数919・LP表示回数約10.6万回・3媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産販売が最新…。(出典: ADクロール),,,,
2026/07/14週,LP,住友不動産,Yahoo;LINE,中,2025-12-13,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://kiwamilp.stepon.co.jp/eb1daa7f/index.html?argument=nodf34lq,ADクロール取込。CR数63・LP表示回数2931回・2媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産ステップが…。(出典: ADクロール),,,,
2026/07/14週,LP,住友不動産,Yahoo;dメニュー,中,2026-07-12,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://www.stepon.co.jp/lp/uri/?argument=nodf34lq&_ly_src=da,ADクロール取込。CR数121・LP表示回数2675回・2媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産ステップが…。(出典: ADクロール),,,,
2026/07/14週,LP,住友不動産,Yahoo;LINE,中,2026-07-09,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://kiwamilp.stepon.co.jp/37953cab/index.html?argument=nodf34lq,ADクロール取込。CR数23・LP表示回数2581回・2媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産ステップが…。(出典: ADクロール),,,,
2026/07/14週,LP,住友不動産,Yahoo,中,2026-07-10,誘導LP: 不動産の好条件売却ができる理由があります | 住友不…,,https://kiwamilp.stepon.co.jp/eb1daa7f/index.html?argument=nodf34lq&_ly_src=da,ADクロール取込。CR数26・LP表示回数2409回・1媒体。説明: あなたの住まいは今いくら？売却する時期はいつがいい? 我が家も本当に売却できる？住友不動産ステップが…。(出典: ADクロール),,,,
2026/07/14週,KW,住友不動産,リスティング(Google/Yahoo),高,2026-07-14,リスティング出稿KW・掲載順位の変化,,,Keywordmap取込。検知KW6件（上昇/新規4・下落/非表示2）。想定集客コスト上位: 住友不動産 採用 中途（約0.3万円）。(出典: Keywordmap),住友不動産 転職 新規表示（→5位）;住友不動産 業務職 新規表示（→5位）;住友不動産 事務 求人 （5→1位）;住友不動産 cadオペレーター （5→1位）,住友 不動産 求人 （1→5位）;住友不動産 採用 中途 （1→2位）,,
2026/07/14週,TD,住友不動産,リスティング(Google/Yahoo),中,2026-07-14,広告見出し: 住友不動産／キャリア採用,,住友不動産／キャリア採用 ／ 住友不動産の採用情報 — 総合デベロッパーとしてビルやマンション開発等幅広く展開。業界トップクラスの安定した事業基盤。戸…,Keywordmap取込。想定流入数31・5KWで表示。(出典: Keywordmap),,,,
2026/07/14週,TD,住友不動産,リスティング(Google/Yahoo),中,2026-07-14,広告見出し: 住友不動産／キャリア採用 - 住友不動産の採用情報 …,,住友不動産／キャリア採用 - 住友不動産の採用情報 - 正社員採用なら ／ 総合デベロッパーとしてビルやマンション開発等幅広く展開。業界トップクラスの安定した事業基盤,Keywordmap取込。想定流入数3・1KWで表示。(出典: Keywordmap),,,,
2026/07/14週,TD,住友不動産,リスティング(Google/Yahoo),中,2026-07-14,広告見出し: 住友不動産の採用情報,,住友不動産の採用情報 ／ 住友不動産／キャリア採用 — 総合デベロッパーとしてビルやマンション開発等幅広く展開。業界トップクラスの安定した事業基盤…,Keywordmap取込。想定流入数3・3KWで表示。(出典: Keywordmap),,,,
2026/07/14週,TD,住友不動産,リスティング(Google/Yahoo),中,2026-07-14,広告見出し: 住友不動産/積極採用中,,住友不動産/積極採用中 ／ 事務職も募集中 — 【営業経験者歓迎】異業種転職者が多数在籍。未経験でも高年収を目指せます。 戸建やリフォームの営業だけ…,Keywordmap取込。想定流入数0・1KWで表示。(出典: Keywordmap),,,,
